id;name;regular_price;promo_price;brand;city
2137988;Кофе растворимый Jardin Kenya Kilimanjaro, сублимированный, 95 г;299.00;;Jardin;Санкт-Петербург
1252103;Кофе сублимированный EGOISTE Noir, стеклянная банка, 100 г;599.00;;EGOISTE;Санкт-Петербург
5938949;Кофе молотый MONARCH TÜRK ESİNTİ (ТУРЕЦКИЙ БРИЗ) ,90г;173.00;;MONARCH;Санкт-Петербург
5989846;Кофе в зернах FRESCO Arabica Barista, 1000 г;1399.00;;FRESCO;Санкт-Петербург
1049646;Кофе растворимый Nescafe Gold Barista, сублимированный с добавлением молотого, 75 г;266.00;;Nescafe;Санкт-Петербург
2140195;"Кофе растворимый Жокей ""Фаворит"", гранулированный, 75 г";178.00;;Жокей;Санкт-Петербург
2694829;Кофе растворимый MONARCH MILIGRANO, молотый в растворимом, 200г;730.00;;MONARCH;Санкт-Петербург
2694830;Кофе растворимый MONARCH CARAMEL, натуральный, сублимированный, 95 г;396.00;;MONARCH;Санкт-Петербург
2694835;Кофе растворимый MONARCH VELOUR, натуральный, порошкообразный, 95 г;290.00;;MONARCH;Санкт-Петербург
1700052;Кофе в капсулах Coffesso, ассорти 3 вкуса, 50 штук;1069.00;;Coffesso;Санкт-Петербург
2694850;Кофе растворимый MONARCH ORIGINAL, сублимированный, 270г;899.00;;MONARCH;Санкт-Петербург
2694844;Кофе растворимый MONARCH ORIGINAL, натуральный, сублимированный, 210 г;673.00;;MONARCH;Санкт-Петербург
2137979;Кофе растворимый Jardin Guatemala Atitlan, сублимированный, 190 г;539.00;;Jardin;Санкт-Петербург
2694852;Кофе растворимый MONARCH ORIGINAL, натуральный, сублимированный, 500 г;1439.00;;MONARCH;Санкт-Петербург
1017216;Кофе растворимый Нескафе Голд, сублимированный, 500 г;1750.00;;Нескафе;Санкт-Петербург
1836412;"Кофе в зернах EGOISTE ""Truffle"", полимерная упаковка, 1 кг";2099.00;;EGOISTE;Санкт-Петербург
2641251;Кофе растворимый Жокей Импер, сублимированный, 75г;201.00;;Жокей;Санкт-Петербург
2641197;Кофе растворимый Jardin Colombia Medellin, сублимированный, 75 г;232.00;;Jardin;Санкт-Петербург
2148174;Кофе сублимированный EGOISTE Double Espresso дой-пак, 70 г;229.00;;EGOISTE;Санкт-Петербург
2694834;Кофе растворимый MONARCH GOLD, натуральный, сублимированный, 500 г;1439.00;;MONARCH;Санкт-Петербург
2391365;Кофе растворимый Московская кофейня на паяхъ, Арабика, 95 г;550.00;;Московская;Санкт-Петербург
1252086;Кофе сублимированный BUSHIDO Original, стеклянная банка, 100 г;909.00;;BUSHIDO;Санкт-Петербург
1836413;Кофе растворимый EGOISTE Noir, полимерная упаковка, 70 г;325.00;;EGOISTE;Санкт-Петербург
2880814;Кофе растворимый Черная Карта Exclusive Brasilia, 75г;207.00;;Черная;Санкт-Петербург
2694841;Кофе растворимый MONARCH ORIGINAL, натуральный, сублимированный, 190 г;697.00;;MONARCH;Санкт-Петербург
2641254;Кофе растворимый ЖОКЕЙ Триумф, сублимированный, 450г;1149.00;;ЖОКЕЙ;Санкт-Петербург
1953143;Кофе молотый Poetti Daily Mokka, натуральный, жареный, 250 г;351.00;;Poetti;Санкт-Петербург
1053651;"Кофе растворимый Нескафе Крема ""Нежная пенка"", 120 г";361.00;;Нескафе;Санкт-Петербург
1821520;"Кофе растворимый CARTE NOIRE ""Elegant"", сублимированный, стеклянная банка, 95 г";569.00;;CARTE;Санкт-Петербург
1067963;Кофе в зернах MONARCH ORIGINAL, натуральный жареный, флоу-пак, 800 г;1350.00;;MONARCH;Санкт-Петербург
1973883;"Кофе молотый BUSHIDO ""Red Katana"", полимерная упаковка, 227 г";664.00;;BUSHIDO;Санкт-Петербург
2419149;Кофе молотый Coffesso MOKKA 250г;340.00;;Coffesso;Санкт-Петербург
1953142;Кофе в зернах Poetti Leggenda ORO, натуральный, жареный, 1 кг;1555.00;;Poetti;Санкт-Петербург
1252107;Кофе молотый EGOISTE Noir, полимерная упаковка, 250 г;689.00;;EGOISTE;Санкт-Петербург
2612213;Kофе рaстворимый Московская кофейня на Паяхъ Арабика, 230 г;1008.00;;Московская;Санкт-Петербург
1821521;"Кофе растворимый CARTE NOIRE ""Original"", сублимированный, стеклянная банка, 95 г";553.00;;CARTE;Санкт-Петербург
1053859;Кофе растворимый Нескафе Голд, сублимированный с добавлением молотого, дой-пак, 190 г;614.00;;Нескафе;Санкт-Петербург
1252099;Кофе сублимированный EGOISTE Platinum, стеклянная банка, 100 г;1042.00;;EGOISTE;Санкт-Петербург
2678953;Kофе растворимый Черная Карта Gold, 190 г;570.00;;Черная;Санкт-Петербург
5867195;Кофе растворимый MacCoffee Arabica, сублимированный, 90 г;299.00;;MacCoffee;Санкт-Петербург
